,ID,MODELO,SERIE,NUMERO_NOTA_FISCAL,DATA_EMISSAO,CNPJ_CPF_EMITENTE,RAZAO_SOCIAL_EMITENTE,NOME_FANTASIA_EMITENTE,TIPO_DESTINATARIO,CNPJ_CPF_DESTINATARIO,CODIGO_MUNICIPIO_DESTINO,NUMERO_PRODUTO,DESCRICAO_PRODUTO,UNIDADE_PRODUTO,UNIDADE_PRODUTO_TRIBUTAVEL,QUANTIDADE_PRODUTO,QUANTIDADE_PRODUTO_TRIBUTAVEL,VALOR_PRODUTO,VALOR_PRODUTO_TRIBUTAVEL,CODIGO_BARRA,CODIGO_BARRA_TRIBUTAVEL,NCM
702114,37401017,55,4,10069,2022-10-20 00:00:00.000,34775186000172,COMPRA SEGURA COMERCIO ELETRONICO LTDA,,PESSOA_FISICA,,1200500,1,Estante De Livro Livreiro Plastico Modular Multiuso 5 Div,UN,UN,1.0,1.0,78.99,78.99,7898062608721,7898062608721,94037000
263831,24676294,55,0,4787,2022-07-19 00:00:00.000,40017962000330,RONSY MATERIAL DE CONSTRUCAO LTDA,RONSY,PESSOA_JURIDICA,,1200401,1,PALHA ATLAS DE ACO Na0,UN,UN,10.0,10.0,2.13,2.13,7896380173433,7896380173433,73231000
59594,2865424,55,1,365,2022-01-27 00:00:00.000,34153348000130,MERCEARIA MEDEIROS EIRELI,MERCEARIA MEDEIROS EIRELI,PESSOA_FISICA,,1200401,46,IOGURTE POLPA NINHO MORANGO 540G,UN,UN,2.0,2.0,8.62,8.62,7891000261026,7891000261026,4031000
204410,19083035,55,1,22464,2022-06-07 00:00:00.000,27675871000242,DISMONZA DISTRIBUIDORA DE TINTAS E ABRASIVOS DO ACRE EIRELI,DISMONZA TINTAS - ACRE - FILIAL,PESSOA_JURIDICA,,1200252,3,"ACRILICO SEBR BASE C 3,2L SUVINIL UVA-PASSA - 623687 TOQUE DE LUZ / ILUMINA",GL,GL,2.0,2.0,213.18,213.18,7891260382752,7891260382752,32091010
919175,41266460,55,1,317094,2022-11-16 00:00:00.000,76639285003192,FERRAGENS NEGRAO COM LTDA - P.VELHO,,PESSOA_JURIDICA,,1200401,16,TESOURA PODA HOBBY - TRAMONTINA,UN,UN,6.0,6.0,12.46,12.46,7891117007128,7891117007128,82015000
507358,34370048,55,10,7553,2022-09-28 00:00:00.000,5915706000105,COMERCIAL JAPIIM LTDA,COMERCIAL JAPIIM,PESSOA_JURIDICA,,1200336,13,LIMP.CASA PERFUME AGRAD.12X500,UN1,UN1,12.0,12.0,3.45,3.45,7896040704625,7896040704625,34025000
144264,12098037,55,1,23830,2022-04-13 00:00:00.000,9002021000110,R J CARDINAL LTDA,SUPER ECONOMICO,PESSOA_JURIDICA,,1200203,1,EXTENSAO TRAMONTINA 3MT 3TOM,UN1,UN1,2.0,2.0,40.99,40.99,7891435051834,7891435051834,85366990
420362,33306809,55,1,4385116,2022-09-20 00:00:00.000,61585865046305,RAIADROGASIL S/A,1446 - RAIADROGASIL S/A,PESSOA_JURIDICA,,1200401,26,VARIVAX 100MG 30 S,UN,UN,2.0,2.0,20.39,20.39,7898133136450,7898133136450,30049099
550046,34902493,55,2,13096,2022-10-01 00:00:00.000,11431102000188,FERMAQUINAS COMERCIO E MATERIAL DE CONSTRUCAO EIRELI  EPP,FERMAQUINAS,PESSOA_FISICA,,1200203,10,ENGATE KRONA FLEXIVEL 1/2X50CM,UN,UN,3.0,3.0,6.0,6.0,7897801300841,7897801300841,39173300
1210672,47996506,55,3,1053975,2023-01-05 00:00:00.000,145602000137,KRONA TUBOS E CONEXOES LTDA,KRONA,NAO INFORMADO,,9999999,65,JOELHO PVC EM 45 GRAUS PARA ESGOTO PRIMARIO - DIAMETRO NOMINAL 50 MILIMETROS,PC,KG,200.0,9.46,1.32,27.86,7897801301763,7897801301763,39174090
838167,39757080,55,300,21240,2022-11-05 00:00:00.000,6057223043148,SENDAS DISTRIBUIDORA S/A LJ206,206 RIO BRANCO,PESSOA_JURIDICA,,1200401,6,ESPONJA SCOTCH BRITE MAGICA,UN1,UN1,4.0,4.0,9.8,9.8,7891040113491,7891040113491,39249000
1628146,58038268,55,1,23871,2023-03-25 00:00:00.000,35458379000162,VILHENA SUPER ATACADO IMP E EXP LTDA,FRIOS VILHENA BRZ,PESSOA_JURIDICA,,1200104,81,DOCE DE LEITE TRAD ELEGE PT 400G,UN,UN,62.0,62.0,5.48,5.48,7896079587329,7896079587329,19019020
708675,37498539,55,1,8434383,2022-10-20 00:00:00.000,6626253057935,EMPREENDIMENTOS PAGUE MENOS SA,CD02HIDROLANDIAGO,PESSOA_JURIDICA,,1200401,67,FD PAMPERS SPLASHERS PM12,UN,UN,1.0,1.0,22.69,22.69,7500435157513,7500435157513,96190000
568625,35170701,55,1,214990,2022-10-04 00:00:00.000,79379491011037,HAVAN S.A.,,PESSOA_FISICA,,1200401,1,VENTILADOR COLUNA 40CM TURBO FORCE VFC4 ARNO,PC,PC,1.0,1.0,399.9,399.9,7895500761178,7895500761178,84145990
277114,26200961,55,1,364954,2022-07-29 00:00:00.000,15191890000133,L L B R DISTRIBUIDORA LTDA,,PESSOA_FISICA,,1200401,4,FLORATTA DES COL F/SECRET 75ml (Desc. 2.89),UN,UN,2.0,2.0,77.92,77.92,7891033716418,7891033716418,33072010
1966302,67594521,55,8,65132,2023-06-05 00:00:00.000,2301164000184,ACRE PARAFUSOS IMPORTACAO E EXPORTACAO LTDA,ACRE PARAFUSOS IMPORTACAO E EXPORTACAO LTDA,PESSOA_JURIDICA,,1200401,1,BICO P/PNEU 1/4 SIMPLES 3844 LOTUS,UN,UN,3.0,3.0,14.68,14.68,7898526969856,7898526969856,84679200
652142,36578650,55,1,11180,2022-10-14 00:00:00.000,7343845000129,ALUMILUZ IND. E COM. DE UTENCILIOS DE ALUMINIO LTDA,ALUMILUZ,PESSOA_JURIDICA,,1200013,96,PAPEIRO 16 PT,UN,UN,3.0,3.0,7.69,7.69,7898932213895,7898932213895,76151000
1595257,57253809,55,1,75568,2023-03-20 00:00:00.000,3994975000170,GRAM INDUSTRIA E COMERCIO LTDA,HASKELL COSMETICOS,PESSOA_JURIDICA,,1200401,3,"MINI MASCARA MANDIOCA 50GR HASKELL (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:",UN,UN,240.0,240.0,2.28,2.28,7898610372555,7898610372555,33059000
764908,38461566,55,21,1487955,2022-10-27 00:00:00.000,60561719009503,Akzo Nobel Ltda,Akzo Nobel Ltda (Maua),PESSOA_JURIDICA,,1200401,42,(11102500105) CR BRILHO E PROTECAO BRANCO 18L EAN 7891019170609 - Produto Nao Perigoso,PC,PC,10.0,10.0,265.59,265.59,7891019170609,7891019170609,32091010
1760822,61636341,55,1,104609,2023-04-24 00:00:00.000,26554435000252,L & G ALIMENTOS DO BRASIL LTDA,MERCALE - AV CEARA,PESSOA_JURIDICA,,1200401,1,AZEITONA VERDE C BELO SACH 400G INT UN QTD. 15.00 UN,UN,UN,15.0,15.0,7.72,7.72,7898075640053,7898075640053,20057000
1063365,44026163,55,0,3717947,2022-12-06 00:00:00.000,43214055004013,MARTINS COM SERV DISTR SA,,PESSOA_JURIDICA,,1200401,7,#CONDIC.NEUTROX 24 MULTIB.300M,CD,CD,4.0,4.0,6.46,6.46,7908324400298,7908324400298,33059000
1677269,59176850,55,1,88,2023-04-03 00:00:00.000,22488511000137,MARCELO B DO NASCIMENTO,VAREJAO VEM Q TEM,PESSOA_JURIDICA,,1200401,96,PINHO TROP CITRUS 1L,UN,UN,1.0,1.0,7.95,7.95,7891242161818,7891242161818,38089429
158014,14239343,55,1,24105,2022-04-30 00:00:00.000,9002021000110,R J CARDINAL LTDA,SUPER ECONOMICO,PESSOA_JURIDICA,,1200203,13,BISCOITO PARATI SALGADO INT 400GR,UN1,UN1,2.0,2.0,7.87,7.87,7896011102610,7896011102610,19053100
1455114,53992364,55,1,895,2023-02-23 00:00:00.000,30722915000171,GAMA MATERIAL DE CONSTRUCAO EIRELI,GAMA MATERIAL DE CONSTRUCAO,PESSOA_FISICA,,1200401,1,SELADOR P/ MADEIRA FARBEN 900ML,UN,UN,2.0,2.0,45.0,45.0,7899381693962,7899381693962,32149000
660190,36781616,55,1,14742,2022-10-15 00:00:00.000,84314152000159,BADATE FESTAS LTDA,BADATE FESTAS,PESSOA_FISICA,,1200401,17,FITA CETIM No 02 COR 201 C/10MTS,UN,UN,1.0,1.0,4.0,4.0,7891521359127,7891521359127,58063200
646894,36485011,55,3,12443,2022-10-14 00:00:00.000,14290696000142,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE LTDA,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE LTDA,PESSOA_JURIDICA,,1200401,6,CARNE RESF DE BOV S/ OSSO (PICANHA GRILL).....5CX,KG,KG,64.26,64.26,69.0,69.0,7893371000259,7893371000259,2013000
159698,14489703,55,1,31232,2022-05-03 00:00:00.000,5213789000182,CRUZEIRO MOTORS LTDA,CRUZEIRO MOTORS  MATRIZ,PESSOA_JURIDICA,,1200203,50,"ENXADA ESTREITA 1,5 S/CABO  TRAMONTINA",UN,UN,5.0,5.0,18.0,18.0,7891117003748,7891117003748,82013000
35677,1322349,55,1,204796,2022-01-14 00:00:00.000,7278350000759,SS COMERCIO DE COSMETICOS E PRODUTOS DE HIGIENE PESSOAL LTDA,,PESSOA_FISICA,,1200401,6,SABONETE HIDRATANTE EM BARRA JEQUITI SENSI LEITE DE AMENDOAS 5X 90G (Desc. 2.12),UN,UN,1.0,1.0,21.3,21.3,7899952304273,7899952304273,34011190
1146323,46045335,55,1,387043,2022-12-20 00:00:00.000,15191890000133,L L B R DISTRIBUIDORA LTDA,,PESSOA_FISICA,,1200401,8,REF NSPA LOC DES HID CPO AMEI 40ml (Desc. 1.46),UN,UN,1.0,1.0,42.42,42.42,7891033773572,7891033773572,33072090
479792,34053434,55,1,786618,2022-09-26 00:00:00.000,47064738000186,SAO DOMINGOS S.A. INDUSTRIA GRAFICA GRAFICA SAO DOMINGOS,Sao Domingos - Matriz,PESSOA_JURIDICA,,1200401,39,CAD UNIV 10M CD B/A 160F C/4 NARUTO PIS 15.39 COFINS 70.88 FSC,PAC,PAC,12.0,12.0,83.58,83.58,7891321333174,7891321333174,48202000
887701,40596775,55,1,17033,2022-11-11 00:00:00.000,21393527000365,RECOL FARMA LTDA.,RECOL FARMA - QUINTINO,PESSOA_JURIDICA,,1200401,8,KIT PANTENE SH 350ML+COND HIDRATACAO,UN1,UN1,2.0,2.0,25.8,25.8,7500435169370,7500435169370,33051000
2055171,70272412,55,7,3732,2023-06-24 00:00:00.000,61585865298541,RAIADROGASIL S/A,3980 - RAIADROGASIL S/A,PESSOA_FISICA,,1200401,4,"MELOCOX 7,5MG 10 S",UN,UN,1.0,1.0,26.09,26.09,7891317439002,7891317439002,30049079
440169,33563149,55,1,733856,2022-09-22 00:00:00.000,7128161000104,DURÍN INDÚSTRIA DE PLÁSTICOS LTDA,DURÍN - ARAQUARI,PESSOA_JURIDICA,,1200385,8,TOR PIA 15cm P. BELO BR,PC,PC,10.0,10.0,18.02,18.02,7898436366844,7898436366844,84818019
100562,6559941,55,1,353771,2022-02-28 00:00:00.000,61215646000180,SAMPEL IND.E COM.DE PECAS AUTOM. LTDA,,PESSOA_JURIDICA,,1200401,118,BUCHA DIANTEIRA DA BANDEJA DA SUSP. DIANT. ETIOS Yaris 18 / ...,pc,pc,20.0,20.0,10.79,10.79,7894325109585,7894325109585,40169990
1560312,56426703,55,1,6134,2023-03-14 00:00:00.000,4521258001913,J CRUZ LTDA-UP_CZS,ULTRA POPULAR CZS 19-13,PESSOA_JURIDICA,,1100304,31,GENGI BABY GEL 10G - Lab./Fabr. BIOLAB SANUS,UN,UN,1.0,1.0,45.57,45.57,7896112401926,7896112401926,33069000
1849200,64274202,55,6,31975,2023-05-12 00:00:00.000,7987265000255,RB DIST COM CONS MED MERC GERAL LTDA,ECOACRE EPITACIOLANDIA,PESSOA_JURIDICA,,1200401,12,UNIL COND DOVE BABY HIDRAT ENRIQ 200ML,UN,UN,24.0,24.0,9.72,9.72,7891150036390,7891150036390,33059000
2218741,74858504,55,1,6949,2023-07-26 00:00:00.000,4521258001328,J.CRUZ LTDA,,PESSOA_JURIDICA,,1200401,132,HIDRAT NIVE SOFT MILK PELE SECA 200ML,UND,UND,2.0,2.0,14.18,14.18,4005808335435,4005808335435,33072090
1186936,47295537,55,2,2240758,2022-12-29 00:00:00.000,4565289000570,BEMOL S/A CD MANAUS,,PESSOA_JURIDICA,,1200401,28,REPOFLOR 200MG 6CP,CRT,KI,3.0,3.0,12.96,12.96,7896004720838,7896004720838,30049099
1939185,66853715,55,1,9779,2023-05-31 00:00:00.000,43041209000106,RAMON DE FIGUEIREDO PEREIRA COMERCIO VAREJISTA,,PESSOA_FISICA,,1200401,1,APOIO ERGONOMICO PARA AUXILIAR ESCRITA REF. ADP01 - 2 Dedos - Azul,UN,UN,1.0,1.0,3.99,3.99,7804540226387,7804540226387,39269090
1486687,54706148,55,1,40,2023-02-28 00:00:00.000,16516276000167,J. G. COSTA LTDA,JORGE MERCANTIL,PESSOA_JURIDICA,,1200203,74,MINGAU BANANA E MACA ALLNUTRI 24X180,UN,UN,8.0,8.0,4.0,4.0,7898330152109,7898330152109,19011030
211115,19643613,55,1,11762,2022-06-11 00:00:00.000,9410927000174,CASTELO ELETRO E CONSTRUCAO LTDA,CASTELO ELETRO E CONSTRUCAO LTDA,PESSOA_JURIDICA,,1200344,1,UNI TINTA PISO ACRIL VERDE 18LT UNIVERSO,GL,GL,1.0,1.0,257.83,257.83,7891696009551,7891696009551,32091010
1964147,67533929,55,1,185242,2023-06-05 00:00:00.000,26770818000420,MILLANO DISTRIBUIDORA DE AUTO PECAS LTDA,MILLANO DISTRIBUIDORA DE AUTO PECAS LTDA,PESSOA_JURIDICA,,1200401,1,LAMPADA H7 24V.70W REF.775 H7.13972.HALC1 HALOWAY,UN,UN,10.0,10.0,16.32,16.32,4013790009432,4013790009432,85392190
2115619,71851661,55,1,275985,2023-07-05 00:00:00.000,2193012000105,VENOSAN BRASIL LTDA,VENOSAN BRASIL LTDA,PESSOA_JURIDICA,,1200401,3,VENOSAN ULTRALINE 4000 COMP. 20-30 AD G PE ABERTO BEGE BEGE  Lote:360866 Ean :7898360914173,PR,PR,2.0,2.0,126.0,126.0,7898360914173,7898360914173,61151021
160860,14653103,55,1,30769,2022-05-04 00:00:00.000,14804412000350,SUPERMERCADO PAGUE POUCO LTDA,SUPERMERCADO PAGUE POUCO,PESSOA_JURIDICA,,1200401,1,LIMP CIF PERFUMADOS 900ML ENERGIZANTE,UN1,UN1,1.0,1.0,6.48,6.48,7891150071537,7891150071537,34023100
2123076,72069713,55,0,559706,2023-07-06 00:00:00.000,2400983000502,COMERCIAL E INDUSTRIAL RONSY LTDA,COMERCIAL RONSY,PESSOA_FISICA,,1200450,4,COLHER PED TRAM 77358 095 9--,UN,UN,1.0,1.0,31.0,31.0,7891117003922,7891117003922,82055900
1997456,68614763,55,100,2838,2023-06-13 00:00:00.000,84305242000183,SUPERMERCADO MILENA LTDA,SUPERMERCADO MILENA LTDA,PESSOA_FISICA,,1200401,3,SAB ALBANY 85G EXTRA,UN,UN,1.0,1.0,2.5,2.5,7908324400120,7908324400120,34011190
242203,22213088,55,1,4498682,2022-06-30 00:00:00.000,13612214000160,QUANTITY SERVICOS E COMERCIO DE PRODUTOS PARA SAUDE S.A.,QUANTITY SERVICOS E COMERCIO DE PRODUTOS PARA SAUDE S.A.,PESSOA_FISICA,,1200401,48,FORCEPS ODONTOLOGICO 18-R ADULTO - GOLGRAN,UNIDAD,1,1.0,1.0,86.99,86.99,7899065804998,7899065804998,90184999
27730,914120,55,1,9412,2022-01-11 00:00:00.000,63595987000154,COMERCIAL DA CONSTRUCAO LTDA,COMERCIAL DA CONSTRUCAO,PESSOA_JURIDICA,,1200401,1,LENTE P  MASCARA DE SOLDA 51X108 TON 10 CARBOGRAFI,UN,UN,2.0,2.0,2.79,2.79,789109550004,789109550004,90213920
16132,441136,55,404,687,2022-01-06 00:00:00.000,4565289008202,BEMOL S/A - LOJA CRUZEIRO DO SUL,,PESSOA_FISICA,,1200203,1,LAVADORA 10 COLORMAQ LCS10 BR,PEÇ,ST,1.0,1.0,576.0,576.0,7897016830133,7897016830133,84501900
575065,35291553,55,100,1957,2022-10-05 00:00:00.000,84305242000183,SUPERMERCADO MILENA LTDA,SUPERMERCADO MILENA LTDA,PESSOA_JURIDICA,,1200401,16,VEJA DESENG 500ML,UN,UN,1.0,1.0,10.98,10.98,7891035800245,07891035800245,38089419
